kakaoId,name,rawText
"439850494","벼락","영업정보
접기
영업 전10:30 오픈
화(7/28)
10:30 ~ 20:45
수(7/29)
10:30 ~ 20:45
목(7/30)
10:30 ~ 20:45
금(7/31)
10:30 ~ 20:45
토(8/1)
10:30 ~ 20:45
일(8/2)
10:30 ~ 20:45
월(8/3)
10:30 ~ 20:45
요기요 제공"
"1148199265","만미당 본점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 22:00
21:00 라스트오더
수(7/29)
11:00 ~ 22:00
21:00 라스트오더
목(7/30)
11:00 ~ 22:00
21:00 라스트오더
금(7/31)
11:00 ~ 22:00
21:00 라스트오더
토(8/1)
11:00 ~ 22:00
21:00 라스트오더
일(8/2)
11:00 ~ 22:00
21:00 라스트오더
월(8/3)
11:00 ~ 22:00
21:00 라스트오더"
"17548193","한접시 본점","영업정보
영업시간을 알려주세요"
"252228904","올능이능이버섯백숙 본점","영업정보
접기
영업 전10:00 오픈
화(7/28)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임
수(7/29)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임
목(7/30)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임
금(7/31)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임
토(8/1)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임
일(8/2)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임
월(8/3)
10:00 ~ 21:30
14:30 ~ 16:30 브레이크타임"
"910263067","모퉁이집","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 20:00
수(7/29)
11:00 ~ 20:00
목(7/30)
11:00 ~ 20:00
금(7/31)
11:00 ~ 20:00
토(8/1)
11:00 ~ 19:30
일(8/2)
휴무일
월(8/3)
11:00 ~ 20:00"
"11159904","장가네생태탕","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 22:00
14:30 ~ 16:30 브레이크타임
수(7/29)
11:00 ~ 22:00
14:30 ~ 16:30 브레이크타임
목(7/30)
11:00 ~ 22:00
14:30 ~ 16:30 브레이크타임
금(7/31)
11:00 ~ 22:00
14:30 ~ 16:30 브레이크타임
토(8/1)
11:00 ~ 22:00
14:30 ~ 16:30 브레이크타임
일(8/2)
휴무일
월(8/3)
11:00 ~ 22:00
14:30 ~ 16:30 브레이크타임"
"13083741","숯과닭발 용봉점","영업정보
접기
영업 전17:00 오픈
화(7/28)
17:00 ~ 24:00
23:00 라스트오더
수(7/29)
17:00 ~ 24:00
23:00 라스트오더
목(7/30)
17:00 ~ 24:00
23:00 라스트오더
금(7/31)
17:00 ~ 24:00
23:00 라스트오더
토(8/1)
17:00 ~ 24:00
23:00 라스트오더
일(8/2)
휴무일
월(8/3)
17:00 ~ 24:00
23:00 라스트오더"
"1241915637","어우러기","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 19:30
수(7/29)
11:00 ~ 19:30
목(7/30)
11:00 ~ 19:30
금(7/31)
11:00 ~ 19:30
토(8/1)
11:00 ~ 19:30
일(8/2)
휴무일
월(8/3)
11:00 ~ 19:30"
"27503877","뼈대있는집","영업정보
접기
영업 중24시간 영업
화(7/28)
00:00 ~ 24:00
수(7/29)
00:00 ~ 24:00
목(7/30)
00:00 ~ 24:00
금(7/31)
00:00 ~ 24:00
토(8/1)
00:00 ~ 24:00
일(8/2)
00:00 ~ 24:00
월(8/3)
00:00 ~ 24:00"
"925624779","고향보쌈칼국수 용봉점","영업정보
접기
영업 전11:30 오픈
화(7/28)
11:30 ~ 21:30
16:00 ~ 17:00 브레이크타임
수(7/29)
11:30 ~ 21:30
16:00 ~ 17:00 브레이크타임
목(7/30)
11:30 ~ 21:30
16:00 ~ 17:00 브레이크타임
금(7/31)
11:30 ~ 21:30
16:00 ~ 17:00 브레이크타임
토(8/1)
11:30 ~ 21:30
일(8/2)
11:30 ~ 21:30
월(8/3)
11:30 ~ 21:30
16:00 ~ 17:00 브레이크타임
영업정보 전체보기"
"8460928","옴팡골콩나물국밥","영업정보
접기
영업 전09:40 오픈
화(7/28)
09:40 ~ 22:00
수(7/29)
09:40 ~ 22:00
목(7/30)
09:40 ~ 22:00
금(7/31)
09:40 ~ 22:00
토(8/1)
09:40 ~ 22:00
일(8/2)
휴무일
월(8/3)
09:40 ~ 22:00"
"1808492143","민속촌 용봉점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더
수(7/29)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더
목(7/30)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더
금(7/31)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더
토(8/1)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더
일(8/2)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더
월(8/3)
11:00 ~ 22:00
15:00 ~ 17:00 브레이크타임
21:00 라스트오더"
"1446094650","골목","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
수(7/29)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
목(7/30)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
금(7/31)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
토(8/1)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
일(8/2)
11:00 ~ 21:00
월(8/3)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
영업정보 전체보기"
